	all-pl	all-sg	arm-pl	arm-sg	ashes-pl	ashes-sg	bark-pl	bark-sg	belly-pl	belly-sg	big-pl	big-sg	bird-pl	bird-sg	bite-sg	black-sg	blood-pl	blood-sg	bone-pl	bone-sg	breast-pl	breast-sg	burn_-sg	cloud-pl	cloud-sg	cold_weather_-pl	cold_weather_-sg	come-pl	come-sg	die-sg	dog-pl	dog-sg	drink-sg	dry-sg	ear-pl	ear-sg	eat-sg	egg-pl	egg-sg	eye-pl	eye-sg	fat_-pl	fat_-sg	feather-pl	feather-sg	fire-pl	fire-sg	fish_-pl	fish_-sg	fly-sg	full-pl	full-sg	give-sg	good-pl	good-sg	ground_on_the_-_-pl	ground_on_the_-_-sg	hair_of_head_-pl	hair_of_head_-sg	head-pl	head-sg	hear-sg	heart-pl	heart-sg	horn-pl	horn-sg	kill-sg	knee-pl	knee-sg	know-sg	leaf-pl	leaf-sg	leg-pl	leg-sg	lie_down_-sg	liver-pl	liver-sg	long-sg	louse-pl	louse-sg	man-pl	man-sg	many-sg	meat-pl	meat-sg	moon-pl	moon-sg	mountain-pl	mountain-sg	mouth-pl	mouth-sg	nail_body_-pl	nail_body_-sg	name-pl	name-sg	neck-pl	neck-sg	new-pl	new-sg	night-pl	night-sg	nose-pl	nose-sg	one-pl	one-sg	path-pl	path-sg	person-pl	person-sg	rain_-pl	rain_-sg	red-pl	red-sg	root-pl	root-sg	round_as_ball_-pl	round_as_ball_-sg	sand-pl	sand-sg	say-sg	see-sg	seed-pl	seed-sg	sit-sg	skin_human_-pl	skin_human_-sg	sleep_-pl	sleep_-sg	small-pl	small-sg	smoke_-pl	smoke_-sg	stand-pl	stand-sg	star-pl	star-sg	stone-pl	stone-sg	sun-pl	sun-sg	swim-sg	tail-pl	tail-sg	tongue-pl	tongue-sg	tooth-pl	tooth-sg	tree-pl	tree-sg	two-pl	two-sg	walk_-sg	warm_weather_-pl	warm_weather_-sg	water-pl	water-sg	what_-pl	what_-sg	white-sg	who_-pl	who_-sg	woman-pl	woman-sg
lumbu yi banda B44		bOtsu		ĠOwu		dibufu		dikuku		difumu		nèna		ŅuŅi	uraβu	fyoti		mènga		iβitsi		dibènè	utsètsa		didunga		poti		Ġwete	ufu		mOndi	Ġonu	muĠa		dyaru	Ġui		diki		disu		matsi		dusala		ruβi		mbitsi	dumuĠa		dasa	uβèta		boti				dinanga		muru	uhulu		murima		disiĠi	uboka		diĠOnOngu	uyaba		diĠayu	milu	Ġulu	non		dibali	Ġula		tsina		dibaĠ∂l∂	ingi		pa∂s∂		ngondi		mulandu		munu		Ņala		dina		ngori		Ol∂		dibati		matsu		fimb∂		ndZine		mutu		mfula		ibènga		mwantsi		Ġongug∂		tsenga	Ġwamba	Ġwèna		Ġiβaara	utsaĠa		muĠanga		rOlu		Ġyeka		mutsuruβa		rèlama		gwèli		dirayi		Ņangu	Ġobila		muri		dulimi		dinu		muri		bayi	Ġwetsa		dèmu		mamba		Ġya	βèβa		andi		muĠyètu
fang meke A75		b∂s∂		wO·		asu				abum		nn∂n		onOn	e·lwan	ensut		m∂ki		ev∂s		abi	∂·dZik		nkut		avo		e·nZu	∂wu		mvu	∂Ņu	nkot		alO	∂dZi		atsiku		dZis		avOŋ		asè		ndwa		kos	∂y∂l∂		nZèya	∂k∂∂		mvèè		se		esil		nlo	∂·wog		∂lem		∂lak	∂·jU		abOŋ	ay∂m		okèp		abO	abo∂		otsan	eyalè		Ņin		fam	abZi		tsit		ŋgOn		nkol		aŅu		Zèè		eyola		t∫∂ŋ		mfifi		alu		dZUU		fO		nZ∂n		mot		mveŋ		ev∂l∂		∂ndZi		ts∂ŋdZ∂gl∂		∂ns∂l∂k	∂Zo	∂y∂n			∂tOb∂		eko		oyO		avita, ntog		otsira		∂nt∂t∂lè		otiti		akOk		viè	adZOk		ŋg∂∂m		ndèèm		asoŋ		eli		bè·	awulu		ayoŋ		medZim		Zè	mfum		nZa		m∂n∂ga
galwa B11c/1		Odu		gO		mbu		mpambo		wumu		mpolo		nyOni	nom	byO		nt∫ina		epa		iwènè	gopya		evindi		nkèyi		gobya	godyuwa		mbwa	godyonga	kakaka		irOyi	gonya		ikè		int∫o		agali		owOZO		ogoni		nt∫wè	godogwa		yony	gopa		mbya		ont∫i		orwè		ewondyo	godyOgO		orèma		mpundyi	godyona		nkogoZo	gomya		oyavi		ogolo	bi		ibobo	la		mbina		onomè	wingi		ewèrè		owèli	inomba	nomba		ogwana		owèra		ina		ompele		nyOna		ogwèra		ompombo		mori		okili	onaga	oma		oningo		rilo		orambaka		ompingo		oZègè	gobulya	godyèna		ntsumu	baru		ebanda		ant∫obino		nyango		otutu		gorè		nkègèni		idOO		omwèyi	godyOga		okwende		onèmè		ino		erere		bani	gokènda		mpyo				andi	pupupu		mèndè		mwanto
ngom kele B22b		bobèèsè		mbO		lefupekè		ayikuè		mooyi		nène		inonè	ukyalane	myiiZu		lekiya		ayii∫a		lebèyè	usumbeka		mkvuuta		leyebuè		unZaaka	ugwaka		mwa	unoteko	gyumegyume		wolè	udyaka		dyaakè		diise		uwoŋkO		asaleka		dvu		∫è	uye∫ekè		kvu	uyèkè		mbeŋè		besopekO		suuyi		yaŋo∫e	ugyuukeka		mlema		mlaika	ugyuuyika		leboŋu	uyileeka		ikayi		gyuZe·	naanase		at∫eku	myaaba·		yaninè		uyuumu	lepokè		∫ii∫i		ngOZe·		mbeka		gwaana		anyala		diina		kiŋu		wakia		mpfuma		dyuuyi		mhutu		nZiiya		muu∫u		mvuuya		mbeeyi		mkaŋa		iŋliè		le∫eyi	unuŋeya	ugyenekè		mbekvu	ufulekyè		akinda		ngwadyè		msaadyè		iyadiè		nasenè		itède		lekokvu		yuusa	ugyokekO		mkundu		yayima		le∫uŋa		gilè		baba·	uyandeka		yuŋèyuŋè		maŋa		ndè	mpfuna		nZa		umwadè
shira B41		botso	myooĠu	wooĠu	mabufu	dibufu	bibaalu	lubaalu	bivumu	Ġivumu		nènè		nyOni	ĠuraaĠira	pe		malungu		Ġiviisi	mabeene	dibeene	Ġunyanga		poomu		mosu		Ġurooa	Ġoofu		mondi	Ġonu	yoomu	maaro	diiro	Ġooyi	maiki	diiki	maiisi	diisi		maatsi	tsaalu	lusaalu		ruvi		sonZi	puruŋa		baasi	ĠuwèèĠa		booti		weetsi	naaŋga	lunaaŋga		muru	Ġoolu		muremo	masibwa	Ġisibwa	Ġuboolu	makootolu	dikootolu	Ġuyaaba		buhaayi		èèro	Ġufoona		dibaalu	naaĠa	t∫iinu	lusiinu		dibaaĠa	mbiili		nyama		tsuŋgu		kOOŋgu	miinu	muunu		ŋgwaalu	miinu	diinu		ngwOOru		ikiyèma		buti		mbaasu		mOnsi		nZila	baatu	muntu		mvoa		baŋga	mpaanZiru	luvaanZiru		biŋgilibiŋgili		musyeeĠi	Ġwaambilwa	Ġulaaba		Ġoonu	Ġutsaava		kaata		yèèru		reeĠi		mutso		mateeli		mbwèèlila		dimaanyi		dyumbi	Ġuraala		muĠiila	ndiimi	lulimi	miinu	diinu	miri	muri		bèyi	Ġwèènda		kaaĠas		maamba		Ġiyaye	fooĠa		nyè		muĠètu
shira bwali B41		botsu		myogu		m∂bufu		dusugu		difumu		neni		nyOni	guravir∂	pind∂		maluŋu		givisi		dibeni	kaniègi		OOtsi				gurug∂	gufu		mOOndi	gunu	gumug∂		diru	guyi		diki		disu		matsi		girendilu		ruuvi		nyam∂	gupur∂mug∂		ubas∂	guveg∂		boti		vesti		nagu		muru	gulu		murim∂		disigi	gubOk∂		m∂kOtulu	nyayabi		dugay		m∂belu	malamin∂			mukOku		disin∂		dibagele	mbali		nyam∂		tsugi		mukOgu		munu		dwal∂		din∂		gori		gipu		dibeti		mbasu		mosi		tsil∂		mutu		mful∂		ubèŋg∂		patsigu		ubèŋg∂		musyegi	gwabil∂	gwèlab∂		bivaru	m∂tsag∂nè		gikat∂		gyelu		gegi		mutsi u ruvi		m∂rèts∂m∂		dubw∂lil∂		dimani		nyagu	gural∂		mugil∂		dulimi		dinu		muri		beyi	gwèd∂		wisi une kag∂s∂		mab∂		gyè	fuĠ∂∂		nyè		mugetu
vungu B431/1 (Nasse) + vungu B431/2 (1986)		otsu / bOtsu	moĠu	ĠoĠu / ĠOĠu		bufu / dibufu		bab∂ / dukuku		oyi / difumu		ĠunèĠ∂ / Ġineni		soli / tsOli	Ġuraβir∂ / Ġuraβira	pindi / Ġupinda		m∂lungu / maluŋgu	biβisi	Ġiβisi / Ġiβisi	m∂benyi / mabeni	dibenyi / dibeni	Ġunyèng∂ / ĠunyeZa				ĠiOtsi		ĠuruĠa	Ġuβaf∂ / Ġufu		mOndi / mondi	Ġunu	nuĠ / ĠukamuĠa		tuyi / dituyi	ĠuĠi / Ġuyia		kèyi / dikèyia	misu	disu / disu		matsi		sal∂ / dusala		uyi / muya		nyama / nyama mambe	ĠudaĠ∂ / ĠudaĠa		Ġubasa	ĠuβèĠ∂ / ĠuβèĠa		bwey / Ġubweyia		tamb∂ / dyaba		dunang∂ / dunaŋga		muru / muru	Ġulu / Ġulu		murim∂ / murima		siĠi / disiĠi	ĠubOk∂ / ĠubOka		kotul∂ / dikOtOlu	Ġuyiaba·a·		Ġay∂ / duĠayia		pilingi / dikulu	Ġusilim∂ / ĠunOnuĠa		duβèl∂ / dubèla	ĠunèĠa		sin∂ / tsina		baĠ∂l∂ / dibaĠala	pwèl∂ / pwela		nyama		sungi / tsuŋgi		kOngu / mukOŋgu		munu / munu	myal∂	dwal∂ / dwala	miin∂	diin∂ / dina		kingu / kiŋgu		ĠOnO / Ġyona		kOlu / mukOlu		mbasu / mbasu		mosi / ĠimOsi		zil∂ / Zila		muru / mutu		mvul∂ / mvula		Ġubèng∂ / Ġubeŋga		gantse / duβanZiĠu		bing∂lana / disierngumbi		musye / musyeĠi	Ġutsingul∂ / Ġwambila	Ġulab∂ / Ġwena	biβaru	Ġiβaru	ĠutsaĠana		mukat∂ / mukata	bilu	yilu / Ġilu	ĠuĠèĠi	gèbi / ĠiĠèĠi		zumbil∂ / zumbili		diteli		βweleli / mwetsa		dimanyi / dimani		nyangu / nyaŋgu	Ġuryal∂ / Ġuryala		miĠil∂ / miĠila		dulimi / dulimi	minu	dinu / dinu		muri / muri		bèy∂ / bèya	Ġuwènd∂ / Ġwenda		kaĠasa		mamb∂ / mambe		miyeβi / niĠieβi	Ġuβepira	banyi	anyi / anyè		muĠètu / muĠètu
pinzi B311		onè	makaka	kaka	mitoyi	motoyi	didyeko	nodyeko	mabuyi	buyi		laβa	diŅoyi	eŅOyi	mononaĠa	Ġila	dinZina	nonZina	ĠeĠepa	eĠepa	mawuènè	wuènè	mololidyaĠa		noba		ĠesOdi		mwidyaĠa	mwiĠwaĠa	difa	epa	mwOngaga	Ġasa	matoyi	toyi	mwiŅaĠa	mabongo	bongo	mamitsO	itsO		maadi	ditswala	notswala	totoyi	vivoyi	eŅaĠa	viŅaĠa	mwifaĠa		edyoni	mwitsaĠa		bOta	misèngè	mosèngè	ditsoĠe	notsoĠe	dimbanga	embanga		mitema	motema	ditseba	notseba	bOkaĠa	mabOngO	bOngO	imOnpOnaĠa	didyabi	nodyabi	mipende	opende	amabama	masaĠasa	saĠasa		dingina	ngina	ameneto	momeneto		eŅaĠa	viŅaĠa	dingOndè	ngOndè	mikodi	mokodi	myana	wana	didyèta	nodyèta	mina	ina	mingonga	mongonga		moĠempe		efitsi	mipombo	opombo		mOtsi	dipOnO	epOnO	Oma	omona	diningo	ningo		tomba	mitamba	motamba		atèndO	misiĠè	mosiĠè	mobèndaĠa	mwenaĠa	dimboto	emboto	mobwana	miĠObO	moĠObO	totinO	vivino	tsèlè	motsèlè	mitsutsu	motsutsu			midaŋga	modaŋga	matale	tale	mimanda	omanda	mwOĠaĠa	mikondo	mokondo	dinenele	nonenele	maminO	inO	etete	Ġetete		bale	moĠèndaĠa		epo		mengo		Ġe	pumwa		indè	ato	mwato
punu B43/2		botsu		gogu		mabufu		dikuku		modzi		givunda		tsoli	ugaka	upinda		malungu		givisi		dibeni	unienga		dibuba		yotsi		uruga	ufu		mondi	unu	ugumaga		ditudzi	udzi		diaki		disu		matsi		dusala		mudzi		nyama mamba	upurimuga		ubasa	uvega		ubwenZi		vatsi		dunaga		muru	ugulu		murima		gisigi	uboka		dikotulu	udzyaba		duganZi		dikulu	usilama		mbombu	usakma		dutsina		dibala	pwela		nyama		tsungi		mukongu		munu		dwala		dina		kingu		gona		mukolu		mbasu		mosi		nZila		mutu		mfula		ubenga		dunganZi		ubingalana		gisyegi	utsingula	ulaba		ivaru	utsana		gikata		gilu		ngebi		nZumbili		uretsama		mbwelila		dimani		gwisi	uryala		mugila		dulimi		dinu		mwiri		bibenZi	uwenda		yusula		mamba		agi	uvema		ani		mugetu
tsogo B31		wèt∫O	mOOĠO	oĠOĠO	myOtO	mOtO	dyeko	weko	mabui	ebui		evunda		nyOyi	mbataga	nzuè		nZina	epa	Ġepa	mabènè	ebènè	bekaĠa	diboŋge	oboŋge		eOdi		viĠaaĠa	ĠwakaaĠa		inZwa	nyuakaaĠa		mato	eato	akaaĠa	mabongo	ebongo	miso	eso		maadi	disaè	osaè		eOtO		nyama ea Ġo mbei	vèaaĠa		yOaaĠa	itsaaĠa		bwèdi		va t∫ina		t∫oĠe	myot∫e	mot∫e	akoĠo	mitema	motema		t∫eba	yoaaĠa	mabOŋgO	ebOŋgO	emènyaaĠa	yabi	abi	migObO	mogObO	ewè yama	mabumba	ebumba	etOŋgO		ŋgina	amoĠo	momoĠo	piŋgo		nyama		ŋgOndè		mokodi	minya	monya	yata	ata	mina	ena	mingonga	mongonga		maanza		evit∫i	dipombo	opombo		Ġevo		Zea	Oma	moma		mbua		ĠèĠa	mitamba	motamba			misiĠè	mosiĠè	bèndaaĠa	ènaaĠa			diĠaaĠa	miĠObO	moĠObO		viyO		viĠè viĠè	mitutu	motutu	mitiyè	motiyè	minaŋga	monaŋga	mataè	etaè		omanda	bènzaaĠa	mikondo	mokondo			mino	eno	etete	Ġetete		bae	kèaaĠa	evyovyo	Ġevyovyo		mèba		inde	vèmbO		inda		moĠetO
