	Aachen	Adorf	Ahrbergen	Albersloh	Allna	Altenberg	Altentrüdingen	Altlandsberg	Altwarp	Astfeld	Atzendorf	Bardenfleth	Barßel	Bempflingen	Bennin	Benzingerode	Billingsbach	Bockelwitz	Bonn	Borstendorf	Breddin	Brelingen	Bremscheid	Brockhausen	Bruch	Burgrieden	Büdesheim	Clausthal	Cursdorf	Dexbach	Diekhusen	Dreeke	Ebertshausen	Ebstorf	Eichenhofen	Einöllen	Eisenbach	Endenburg-Lehnacker	Engelsbach	Engter	Ensheim	Eschelbronn	Eversen	Exdorf	Falkenthal	Freden	Frohnhausen	Gelting	Gerbstedt	Gersdorf	Gornsdorf	Gottsbüren	Gresenhorst	Groß Ballhausen	Groß Jamno	Groß Mohrdorf	Großwechsungen	Großenwiehe	Grünlichtenberg	Grünow	Götz	Haddorf	Hagen	Hammah	Hartenfels	Hartenstein	Helmers	Herbornseelbach	Herdecke	Hermannsreuth	Hermeskeil	Herrentrup	Herßum	Herzfeld	Hesselteich	Hohenkörben	Hohwacht	Holmkjer	Horheim	Huddestorf	Hundisburg	Höchstädt	Hönebach	Iggingen	Igling	Iversheim	Jacobsdorf	Jeetzel	Jesteburg	Jever	Jonsdorf	Jürgenshagen	Kemmern	Kirch Kogel	Klafferstraß	Klein Rossau	Kleinbottwar	Kruft	Kuhstedt	Köln	Lampertswalde	Landgrafroda	Langenbruck	Leuth	Linz	Lippen	Lippramsdorf	Lohra	Lohrhaupten	Maibrunn	Mastershausen	Maxweiler	Mirow	Mockern	Mörshausen	Neu Schadow	Niederasphe	Niederauerbach	Niedernhausen	Nürnberg	Oberau	Oberhomberg	Obermaiselstein	Oberviehbach	Oberwürzbach	Odenspiel	Offdilln	Ohrdorf	Oiste	Orferode	Osterbruch	Osterfeld	Osterhagen	Ottowind	Peterskirchen	Pfaffenrot	Pielenhofen	Pretzsch	Pöttmes	Rammenau	Ramsau	Reelkirchen	Reetz	Ringgau-Röhrda	Rosenthal	Roßwein	Ruhlsdorf	Schachach	Schauenstein	Schellroda	Schmannewitz	Schnepfenbach	Schraden	Schwabstedt	Schömberg	Schönbeck	Seelbach	Siebenbach	Stöcken	Tann	Theuma	Treffelstein	Ulbering	Ungstein	Unterellen	Valdorf	Verchen	Vielbrunn	Vietmannsdorf	Volkershausen	Wangerooge	Warpe	Wasbek	Wasbüttel	Wehrsdorf	Weidenbach	Wemb	Wentorf	Weyhers	Wieda	Wildpoldsried	Winterspelt	Wittelsberg	Wolgast	Wüllen	Zellingen
Aachen	0	0.221022	0.237985	0.232156	0.212818	0.231244	0.225447	0.229072	0.230034	0.220642	0.22405	0.230961	0.218073	0.211923	0.23758	0.235862	0.214796	0.233753	0.20236	0.235127	0.223292	0.237093	0.243959	0.222942	0.176595	0.22139	0.199985	0.223468	0.228747	0.208827	0.239525	0.226133	0.224481	0.235967	0.230284	0.215692	0.202088	0.224951	0.213338	0.227697	0.214219	0.204063	0.230716	0.227841	0.231593	0.215678	0.216059	0.245385	0.243481	0.227912	0.23606	0.229538	0.232802	0.230605	0.228441	0.228987	0.234909	0.230685	0.227821	0.227046	0.21994	0.240026	0.240938	0.22153	0.220788	0.221754	0.215222	0.20795	0.222576	0.239652	0.199617	0.241667	0.219652	0.241207	0.232078	0.23769	0.217201	0.217123	0.207553	0.24573	0.236021	0.219765	0.2211	0.204745	0.213362	0.20925	0.219178	0.23185	0.220916	0.226938	0.245219	0.234808	0.225787	0.239555	0.237862	0.225225	0.235957	0.202238	0.221173	0.186989	0.22087	0.230039	0.23351	0.203225	0.228321	0.220397	0.217204	0.204183	0.195487	0.249607	0.183442	0.225382	0.228228	0.232796	0.221861	0.234839	0.205201	0.192995	0.192883	0.225824	0.243761	0.208646	0.23827	0.225587	0.21814	0.207447	0.199834	0.234743	0.237102	0.227061	0.231119	0.247998	0.236869	0.225032	0.237695	0.216545	0.219042	0.220004	0.239795	0.231248	0.245492	0.233826	0.21922	0.231973	0.196384	0.232893	0.226624	0.234542	0.22594	0.226974	0.23064	0.227077	0.230919	0.226699	0.21673	0.222263	0.221385	0.19108	0.225448	0.214197	0.226157	0.22323	0.245185	0.227207	0.22605	0.235644	0.250573	0.205673	0.232104	0.231723	0.217073	0.225644	0.210919	0.228505	0.249668	0.235479	0.221189	0.233734	0.211212	0.225935	0.227347	0.204686	0.211918	0.215984	0.233339	0.207602
Adorf	0.221022	0	0.175844	0.194723	0.205499	0.217919	0.230876	0.201767	0.21938	0.18146	0.193512	0.208837	0.184418	0.207301	0.221269	0.210825	0.217918	0.203297	0.225315	0.231177	0.218911	0.205686	0.193064	0.147204	0.201951	0.208574	0.19643	0.217686	0.217071	0.214134	0.19949	0.198543	0.238629	0.218812	0.226594	0.23163	0.194285	0.23079	0.219678	0.167746	0.221487	0.204675	0.195695	0.226981	0.220731	0.189082	0.20328	0.239207	0.217632	0.217409	0.238405	0.193633	0.213145	0.2118	0.200265	0.206652	0.217805	0.217273	0.210334	0.225929	0.189727	0.208322	0.213246	0.20098	0.216563	0.190123	0.229719	0.21577	0.181348	0.232976	0.2183	0.176425	0.199504	0.22938	0.198722	0.228761	0.208009	0.211124	0.214897	0.208475	0.204266	0.21285	0.230477	0.197046	0.220638	0.225085	0.208125	0.218479	0.205657	0.200611	0.229284	0.219177	0.221122	0.226311	0.223595	0.231789	0.234984	0.220893	0.195682	0.213157	0.211673	0.207537	0.215119	0.211647	0.199886	0.199318	0.182715	0.206357	0.21563	0.250167	0.209581	0.222121	0.223584	0.223609	0.207512	0.208425	0.210691	0.202711	0.204624	0.225625	0.232889	0.208986	0.235656	0.219195	0.218301	0.228433	0.204732	0.199848	0.206332	0.198683	0.204362	0.228275	0.183432	0.221833	0.2341	0.20893	0.209819	0.208554	0.226379	0.219697	0.238761	0.177712	0.194183	0.207201	0.190411	0.21863	0.201325	0.220297	0.210452	0.210842	0.204346	0.213583	0.220716	0.211296	0.210136	0.21811	0.218388	0.216502	0.195585	0.221761	0.234252	0.203973	0.217988	0.238047	0.223417	0.205236	0.223234	0.197793	0.221905	0.221844	0.204894	0.185404	0.197086	0.186953	0.20897	0.216114	0.202656	0.212051	0.214572	0.212567	0.232679	0.228384	0.212763	0.203612	0.200652	0.215886
Ahrbergen	0.237985	0.175844	0	0.189338	0.229711	0.207098	0.230461	0.192873	0.202	0.158946	0.178158	0.196741	0.172209	0.220327	0.194474	0.19466	0.2346	0.199296	0.228383	0.223439	0.201343	0.174546	0.183019	0.174966	0.21194	0.22416	0.226211	0.206981	0.218926	0.222409	0.198409	0.171521	0.23487	0.189297	0.227162	0.222922	0.215409	0.237174	0.220024	0.184113	0.225394	0.215843	0.179552	0.234545	0.203891	0.161023	0.215669	0.244947	0.217004	0.20058	0.236934	0.181107	0.202583	0.205843	0.204811	0.190474	0.210016	0.195441	0.20159	0.213431	0.185911	0.203174	0.191967	0.182411	0.215268	0.207293	0.240565	0.222514	0.177626	0.23321	0.216905	0.186253	0.174853	0.202434	0.174857	0.192883	0.188769	0.194681	0.225191	0.177886	0.190462	0.220475	0.210524	0.220244	0.230952	0.240486	0.192507	0.201706	0.191473	0.186794	0.216194	0.194693	0.219859	0.203283	0.22684	0.213671	0.237734	0.227822	0.182437	0.218015	0.209305	0.204214	0.230002	0.227435	0.200437	0.191077	0.192392	0.214197	0.225389	0.247365	0.216194	0.229634	0.206507	0.220873	0.204021	0.211722	0.21557	0.220478	0.213563	0.213421	0.235058	0.215971	0.243987	0.233892	0.228962	0.216203	0.222001	0.186701	0.171352	0.205589	0.188694	0.226102	0.17588	0.218736	0.225866	0.226768	0.227096	0.198076	0.240949	0.207027	0.235207	0.18049	0.188274	0.197103	0.208992	0.205348	0.19025	0.223114	0.217492	0.214035	0.199388	0.229415	0.217226	0.191423	0.220192	0.203128	0.225808	0.227811	0.172518	0.237139	0.218588	0.217271	0.214372	0.234481	0.216074	0.178191	0.204767	0.216126	0.19709	0.234555	0.182561	0.175914	0.198425	0.143748	0.210569	0.216785	0.217243	0.185065	0.239249	0.198971	0.239021	0.231385	0.2252	0.181191	0.198115	0.232275
Albersloh	0.232156	0.194723	0.189338	0	0.240178	0.240692	0.241708	0.216374	0.201925	0.206314	0.203859	0.203849	0.189039	0.225267	0.190365	0.207356	0.237175	0.222004	0.219672	0.239864	0.191719	0.194344	0.185685	0.187785	0.227154	0.226794	0.23031	0.233064	0.241298	0.23737	0.185466	0.180062	0.243016	0.185473	0.225617	0.239656	0.222542	0.240593	0.226652	0.182439	0.232854	0.230797	0.179914	0.244913	0.204272	0.193665	0.240251	0.243336	0.242611	0.226134	0.242953	0.183891	0.190882	0.224473	0.232536	0.191217	0.236606	0.181463	0.219908	0.195683	0.199308	0.170158	0.183805	0.178825	0.221856	0.222116	0.233579	0.233303	0.173471	0.231266	0.226633	0.206998	0.175916	0.198874	0.178444	0.196046	0.195557	0.175839	0.226691	0.198305	0.20046	0.228595	0.210903	0.226863	0.227479	0.228321	0.21402	0.191566	0.178947	0.186846	0.240264	0.188501	0.230058	0.198395	0.233817	0.209487	0.237435	0.226505	0.174019	0.227708	0.225965	0.239006	0.237163	0.230604	0.224242	0.220461	0.186458	0.230209	0.224719	0.247392	0.22336	0.235651	0.204897	0.24292	0.225325	0.229857	0.239557	0.233068	0.228211	0.229131	0.247611	0.231338	0.236275	0.233211	0.242525	0.226666	0.22726	0.189297	0.173275	0.227461	0.188027	0.244011	0.203886	0.230462	0.225306	0.2336	0.232291	0.226084	0.247511	0.231686	0.244156	0.203225	0.217965	0.211508	0.230902	0.230447	0.20996	0.234437	0.229022	0.231822	0.225293	0.236867	0.238645	0.183513	0.235652	0.19485	0.233992	0.227447	0.185695	0.237681	0.237522	0.226824	0.222599	0.23786	0.220291	0.189112	0.202705	0.221402	0.196278	0.245504	0.187142	0.191276	0.189677	0.185833	0.228932	0.219552	0.225208	0.182671	0.242836	0.218075	0.237229	0.225879	0.23814	0.179072	0.203643	0.233413
Allna	0.212818	0.205499	0.229711	0.240178	0	0.209602	0.188864	0.192321	0.227584	0.218329	0.223123	0.237725	0.22565	0.189561	0.231253	0.228657	0.18588	0.193514	0.21362	0.209821	0.232839	0.24083	0.238532	0.216911	0.181002	0.195481	0.152767	0.188926	0.215977	0.136527	0.22674	0.23982	0.200491	0.229754	0.219689	0.181858	0.15196	0.204467	0.208516	0.231667	0.183409	0.175112	0.22809	0.197045	0.218878	0.205099	0.155088	0.212997	0.223933	0.188945	0.223247	0.232185	0.236	0.218547	0.198341	0.223153	0.222624	0.231263	0.191872	0.23601	0.219648	0.237109	0.234659	0.233422	0.193348	0.18714	0.212162	0.141853	0.230203	0.2247	0.191739	0.231689	0.229455	0.247188	0.240536	0.251332	0.228745	0.226125	0.206123	0.234343	0.227844	0.185352	0.206368	0.184591	0.196571	0.221082	0.218446	0.235502	0.223755	0.235598	0.203758	0.24707	0.18996	0.242863	0.211689	0.24519	0.213776	0.189371	0.217664	0.202797	0.203773	0.20485	0.198131	0.218331	0.198358	0.202958	0.208655	0.125277	0.158301	0.228263	0.169584	0.189609	0.240595	0.215874	0.201884	0.1965	0.14148	0.176753	0.151257	0.191887	0.22258	0.199841	0.228692	0.189926	0.202505	0.218883	0.146277	0.230495	0.238282	0.196771	0.232578	0.215957	0.231787	0.183855	0.221822	0.184382	0.191474	0.197457	0.21616	0.194944	0.227293	0.234255	0.210397	0.210752	0.147664	0.202906	0.216332	0.198359	0.184057	0.211572	0.194168	0.193288	0.193235	0.22971	0.196964	0.234083	0.204638	0.191902	0.229145	0.189919	0.213092	0.194436	0.202602	0.198466	0.200674	0.24751	0.238932	0.165295	0.223785	0.192732	0.223637	0.222676	0.226327	0.232396	0.207183	0.197198	0.221663	0.230341	0.182709	0.21103	0.202792	0.219426	0.122517	0.226303	0.223975	0.183297
Altenberg	0.231244	0.217919	0.207098	0.240692	0.209602	0	0.218736	0.164178	0.225562	0.198589	0.203901	0.243968	0.221414	0.21227	0.232955	0.217788	0.216376	0.163479	0.227402	0.168375	0.223084	0.223214	0.23262	0.22462	0.195297	0.211589	0.207918	0.169408	0.173198	0.191438	0.238488	0.221338	0.209881	0.228587	0.228147	0.198253	0.198268	0.234355	0.191215	0.24057	0.211677	0.193238	0.216706	0.192357	0.208648	0.206864	0.191467	0.227305	0.190514	0.158385	0.187282	0.214918	0.237672	0.199827	0.16053	0.233326	0.206516	0.233026	0.152816	0.225101	0.186139	0.234177	0.228131	0.231616	0.194588	0.208682	0.22533	0.198802	0.230298	0.224246	0.18663	0.229343	0.216669	0.239159	0.227866	0.236565	0.22979	0.224821	0.222099	0.225957	0.216955	0.212896	0.202565	0.211441	0.222563	0.240575	0.203868	0.237465	0.22687	0.23291	0.166283	0.239256	0.201778	0.233156	0.217583	0.227393	0.224071	0.204007	0.216933	0.210767	0.161428	0.177506	0.210183	0.239481	0.150461	0.157869	0.233968	0.205269	0.205427	0.234225	0.192805	0.213237	0.232095	0.16095	0.176437	0.176172	0.187271	0.190365	0.180836	0.190669	0.21988	0.212236	0.247673	0.212908	0.216052	0.224793	0.205248	0.227668	0.224091	0.202542	0.229438	0.181714	0.232655	0.201769	0.207781	0.21008	0.209238	0.170797	0.229152	0.158367	0.224659	0.226553	0.191495	0.198695	0.178337	0.144914	0.190405	0.204842	0.194394	0.191408	0.159638	0.208361	0.156045	0.231162	0.224683	0.234735	0.218323	0.217743	0.21997	0.221324	0.17971	0.206054	0.210706	0.206444	0.208067	0.222848	0.241818	0.203777	0.210792	0.221107	0.219021	0.223289	0.236454	0.211646	0.176391	0.207035	0.242569	0.234971	0.220037	0.201467	0.219537	0.217449	0.202512	0.223263	0.229786	0.21567
Altentrüdingen	0.225447	0.230876	0.230461	0.241708	0.188864	0.218736	0	0.200262	0.23988	0.216764	0.231777	0.240922	0.228893	0.137842	0.228871	0.228978	0.12353	0.211981	0.223293	0.216271	0.234939	0.235732	0.247128	0.221551	0.193767	0.160099	0.15981	0.183878	0.213466	0.177683	0.244585	0.239865	0.20446	0.239346	0.19903	0.188091	0.161474	0.169278	0.229861	0.233529	0.167563	0.143719	0.232754	0.195796	0.229948	0.211731	0.177017	0.169857	0.238781	0.206614	0.221732	0.22658	0.240897	0.228165	0.203595	0.227547	0.224476	0.234803	0.201439	0.241148	0.234984	0.240781	0.232336	0.244316	0.202707	0.178671	0.202263	0.179981	0.239451	0.210473	0.196454	0.229548	0.227518	0.247644	0.244025	0.247569	0.229786	0.224595	0.170886	0.232531	0.232854	0.152189	0.205024	0.143003	0.152012	0.232688	0.232033	0.235379	0.234654	0.249195	0.197247	0.24598	0.162378	0.244657	0.180596	0.241912	0.188389	0.191286	0.22696	0.203647	0.214796	0.227691	0.164468	0.236838	0.202753	0.202389	0.227358	0.169486	0.171275	0.214879	0.165035	0.152364	0.241191	0.217166	0.21131	0.209716	0.181486	0.158315	0.166886	0.16649	0.184959	0.157454	0.187457	0.176743	0.189138	0.21649	0.177287	0.224041	0.238975	0.195538	0.244186	0.234228	0.246289	0.167197	0.197422	0.14387	0.165739	0.203254	0.179858	0.206136	0.212679	0.233898	0.231368	0.212323	0.17943	0.209149	0.233874	0.168505	0.157726	0.22338	0.202543	0.169983	0.229492	0.238003	0.155184	0.240463	0.174148	0.191168	0.227959	0.187627	0.215599	0.171995	0.170935	0.186044	0.223403	0.242251	0.24405	0.153537	0.220085	0.151639	0.229865	0.235539	0.229896	0.22947	0.212032	0.152085	0.221461	0.236176	0.18385	0.206885	0.168777	0.225955	0.176526	0.230082	0.21913	0.150422
Altlandsberg	0.229072	0.201767	0.192873	0.216374	0.192321	0.164178	0.200262	0	0.200246	0.185074	0.182307	0.22583	0.20678	0.192488	0.209073	0.195261	0.202227	0.128408	0.208186	0.173525	0.202117	0.214078	0.219461	0.208947	0.175328	0.18921	0.192346	0.169545	0.178478	0.169482	0.229458	0.214173	0.19021	0.208999	0.210222	0.188168	0.178562	0.214233	0.171525	0.225787	0.195063	0.180938	0.204848	0.193834	0.182138	0.189871	0.181742	0.201321	0.176358	0.157216	0.191914	0.209506	0.208165	0.19417	0.127711	0.204473	0.189072	0.219879	0.134996	0.20266	0.169632	0.22683	0.209259	0.220901	0.171057	0.184991	0.206649	0.183085	0.210423	0.206592	0.173167	0.219592	0.200499	0.223531	0.214276	0.225848	0.210924	0.208745	0.195507	0.207785	0.182425	0.183212	0.182886	0.194834	0.200213	0.222631	0.183506	0.214876	0.21197	0.219539	0.169931	0.219869	0.182127	0.222727	0.201084	0.209319	0.206732	0.190865	0.206431	0.187481	0.149843	0.15868	0.189949	0.232154	0.143368	0.120225	0.214046	0.184624	0.18965	0.215946	0.179828	0.188244	0.2186	0.178948	0.167186	0.149687	0.174348	0.180666	0.158892	0.175709	0.202572	0.192051	0.224324	0.192698	0.18888	0.199185	0.18764	0.213421	0.205381	0.187025	0.222961	0.185474	0.224585	0.183302	0.187479	0.192765	0.191952	0.146736	0.217466	0.165849	0.209982	0.218138	0.164752	0.183201	0.166416	0.147595	0.162421	0.18444	0.18413	0.187972	0.14997	0.198526	0.164668	0.221802	0.205687	0.21332	0.202669	0.201493	0.197809	0.204659	0.178041	0.186658	0.191548	0.193734	0.178318	0.213252	0.219813	0.18979	0.185107	0.199148	0.196759	0.202762	0.22075	0.198396	0.177781	0.174993	0.22556	0.217594	0.203168	0.175381	0.199679	0.201334	0.193432	0.202645	0.211614	0.20304
Altwarp	0.230034	0.21938	0.202	0.201925	0.227584	0.225562	0.23988	0.200246	0	0.214266	0.188312	0.199314	0.194885	0.22835	0.184904	0.19875	0.237257	0.204895	0.236673	0.223123	0.163343	0.208882	0.222585	0.213884	0.214999	0.231649	0.233196	0.227775	0.237335	0.2262	0.193315	0.202583	0.233028	0.18325	0.229017	0.224435	0.22294	0.236497	0.211798	0.200563	0.222633	0.225696	0.189062	0.238387	0.169788	0.207737	0.228018	0.240633	0.234963	0.208908	0.233723	0.218854	0.17812	0.229112	0.209843	0.162455	0.226608	0.187461	0.202159	0.155935	0.191368	0.197052	0.175918	0.192522	0.209834	0.224351	0.232503	0.22671	0.197458	0.238686	0.224126	0.221925	0.19545	0.185086	0.216635	0.206015	0.172854	0.181041	0.233395	0.20252	0.175997	0.227183	0.214225	0.229799	0.23274	0.243229	0.199454	0.18585	0.181939	0.190772	0.231053	0.174589	0.228357	0.173682	0.232793	0.173577	0.24522	0.225473	0.180294	0.213477	0.21136	0.220831	0.236328	0.239576	0.22187	0.20193	0.201349	0.228803	0.223848	0.252402	0.213251	0.226626	0.161963	0.232931	0.213904	0.209811	0.224716	0.220395	0.217651	0.206249	0.241767	0.236474	0.250033	0.235186	0.233076	0.21713	0.230675	0.201346	0.192985	0.233151	0.194378	0.237281	0.211148	0.226364	0.224721	0.225294	0.236579	0.207168	0.242725	0.221893	0.24602	0.217909	0.19512	0.221782	0.232195	0.218531	0.193107	0.232425	0.227638	0.219178	0.215854	0.233571	0.216342	0.191855	0.241369	0.16773	0.230341	0.229443	0.182089	0.225247	0.226379	0.221236	0.233925	0.231877	0.206949	0.21238	0.187648	0.222656	0.162432	0.246166	0.186574	0.185071	0.19067	0.204252	0.229625	0.220557	0.220846	0.183022	0.23587	0.218916	0.234762	0.236341	0.228254	0.16564	0.208907	0.23982
Astfeld	0.220642	0.18146	0.158946	0.206314	0.218329	0.198589	0.216764	0.185074	0.214266	0	0.182826	0.20803	0.169895	0.212194	0.21364	0.196172	0.215816	0.191975	0.236954	0.223011	0.202363	0.199922	0.20354	0.183982	0.202583	0.214471	0.210544	0.197386	0.201554	0.205013	0.21644	0.192763	0.237497	0.200947	0.232989	0.215091	0.208652	0.237625	0.221733	0.196914	0.22503	0.200959	0.188955	0.23255	0.204637	0.168877	0.197458	0.243345	0.217822	0.202805	0.23684	0.187377	0.213151	0.218332	0.199381	0.203499	0.21484	0.214266	0.201451	0.208604	0.187493	0.218308	0.207292	0.20818	0.207174	0.213062	0.233015	0.200811	0.199649	0.236049	0.205658	0.202469	0.189576	0.217127	0.205861	0.210481	0.199931	0.216504	0.213522	0.193208	0.187189	0.210487	0.22171	0.21881	0.223469	0.245948	0.193603	0.215748	0.211155	0.200791	0.209268	0.210425	0.221168	0.209344	0.230319	0.216891	0.24012	0.209835	0.192087	0.211453	0.201975	0.204231	0.222991	0.221018	0.193275	0.183016	0.207196	0.196002	0.216	0.247482	0.194857	0.231304	0.219031	0.205888	0.202896	0.201474	0.198692	0.208028	0.193318	0.215644	0.235324	0.214006	0.246628	0.235702	0.229249	0.223238	0.199616	0.197602	0.202806	0.210877	0.214373	0.220623	0.187964	0.224194	0.232181	0.216932	0.226064	0.198678	0.233866	0.208407	0.240738	0.191292	0.187734	0.210234	0.195532	0.205677	0.194808	0.220727	0.209677	0.218804	0.196115	0.214454	0.209374	0.214768	0.218331	0.209846	0.230297	0.219238	0.181203	0.228324	0.215035	0.214824	0.221465	0.220484	0.215087	0.200524	0.216952	0.211176	0.201187	0.223172	0.193006	0.177041	0.207572	0.171733	0.205323	0.20991	0.211993	0.212039	0.227274	0.203163	0.235107	0.233443	0.209906	0.19005	0.198365	0.219679
