	kippen	mijn	vriend	bloemen	spinnen	machines	werk	op	schip	kregen	beschimmeld	brood	timmerman	splinter	vinger	fabriek	vier	bier	twee	drie	hij	knuppel	ik	knie	gezien	ragebol	pet	paddestoel	kerel	brede	stenen	breder	breedste	standbeeld	duivel	gebleven	meester	zee	graag	keelpijn	steel	bezem	neen	geroepen	peer	rijp	geld	ver	brengen	vrouw	zwemmen	sterk	bed	optillen	metselaar	springen	boterham	vader	zes	jaar	school	laten	gaan	water	potten	zijn	veel	maart	nog	koud	kaars	geeft	licht	paard	tegen	zwaluwen	kaas	motor	dag	avond	jongetje	barst	brief	hart	spannen	nieuwe	kar	zoon	koning	ook	geweest	rozen	lange	woord	kindje	was	dochtertje	bos	ladder	mond	droog	dorst	weg	krom	liedje	goed	kelder	voor	moest	ossenbloed	drinken	broer	moe	karnemelk	dun	zuur	put	uur	Italie	bergen	vuur	spuwen	duwen	hebben	stuk	brug	veulen	komen	deur	naaien	gras	brouwer	bakken	je	eieren	krijgen	markt	waren	vijf	eikels	hooi	is	groen	boompje	wijn	huis	melk	spuit	koe	koster	kruiwagen	buigen	Duitsers	blauw	geslagen	saus	flauw	sneeuw	stad	doen	dopen	doopvont	soldaten	dorsen	binden	gebonden
West-Terschelling	kip@n	miN	kA_+m@rA_+:t	blUm@	spIn@	m@sin@s / m@Sin@s	v\Or@_Xk	Up_v	sxIp	kre:G@_~ / krIG@_~	f@sxIm@lt / b@sxIm@lt	bro_r:\@_Xt	tIm@rmAn	splInt@r	fIN@r	f@brik	fjOu_Xw@r	bi:\@_Xr	twA_+	tre:i_Xj@	hEi_X	knYp@l / EinhOu_Xt	Ik	knIb@l	si:\@_Xn	rA_+:G@bOl	pEt	pA_+d@stu:\@_Xl	mA_+n	bre:d@ / bre:j@	stIn_=:	bre:d@r	bre:st@	stOndbe:lt	dyv@l	blOu_Xn	me:st@r	se:\	xrA:x	@ti_~:\si_~ke:l	stE:l	bi:z@m	ne:	rOft	pO:\@_Xr	rip	jIlt	fi:\@_Xr	brIN@	v\i:f	swUm@	stErk	bE:\@_Xt	UptIl@n		sprIN@		tO_o:\@_X	sEks	ji@_Xr	sxu:\@l	lItn_X_=	xe:\@_X_~	v\Et@r	pOtn_=_X	bIn	fUl@	mA:\@_Xt	nOx	kO:\@_Xt	kEs	jUxt	jExt	hoi_Xs_j	tsjI	swA:lyw@	tsi:s / tsji:s	mo:\t@r	dEi_X	ioN	jUNkj@	b9_rst	bri:f	hOi_Xt_j	spOn@	ni:\j@	kA_+r@	sIn	ko:\@_XnIN	e:\@_Xk	v\En	ro:\@_Xz@n	lA_+N@	v\Oi_Xt_j	bO_on_j	v\A_+z	fA_+mk@ / dOxt@rts@	bUs	le:\@_Xrt	myl@	drux	to:\@_Xst	v\Ei_X		fEsj@	xu:\@t	kEld@r	fu_XA_+r	mOs	Os@blu:\@t_v	drINk@	bru@r	mu:\@_Xt	su:\p / kArn@mo:\@_Xl@k	tIn	su:r	pYt	u:r	itA_+:lj@	bA_+rG@n	fju:r	spi:\@_Xn	drYk@n	hA_+b@	stIk	brYx	fOl_jts@	kUm@	do:\@_Xr	nA:i_Xj@	xEs	brOu_Xw@r	bA_+k@	do_o	A:@_Xj@n	kri:\j@	mA_+r@k / mAr@kt	wA:r@_~	fi:f	Eik@ls	he:\@_X	Iz	xri:\@_Xn	bo:mk@	v\in	hy:s	mU@_Xl@k	sp9i_Xt	ku	kOst@r	kr2dv\Ein	bu:G@	dyts@rs	blA:u_X	slEin	sjy		sne:	stA_+t	dwe:\@_Xn	do:p@	do:pfUnt	sOldA:t@n	tEskj@	bin@	boN
Oost-Vlieland	kIp@	m@_~	vrInt	blum@	spIn@	m@si:\n@s	v\Er@k	Up	skIp	kreG@	b@skIm@lt	brU_r:@_Xt	tIm@rmAn	splInt@r	fIN@r	f@brik	fi:\r	bi:\r	tv\i:\	dri	E:\i	knYp@l	k	kni	sin	ra:\G@bOl	pEt	pUd@stu:\l / pAd@stu:\l	kI:r@l / fEnt	bre:\j@	stind@	bre:\j@r	bre:\tst@	stAndbe:\lt		ble:\v@	me:\st@r	se:\	Gra:\x	ke:\lpin	ste_r:\l	be:\z@m	ne:\i	ru:\p@	pI:r	rip	GElt	fEr	brEN@	frOu	sv\Em@	stEr@k	bEd	UptIl@	mEts@la:\r	sprIN@	brU_r:\@t	fa:\d@r	sEs	ja:\r	sko:\l	la:\t@	Ga:\n	v\a:\t@r	pOt@	bEn	fe:\l	ma:\rt	nOx	kOut	kI:rs	xe:\ft	lIxt	pI:rt	te:\G@	sv\a:\l@v\@	ke:\s	mo:\t@r	dAx	ei_Xv@n	jUN@tj@	bArst / skY:r	brif	Art	spAn@	nyv\@	kAr	so_ou_Xn	ko:\n@N	Uk	v\e:\st	ro_ou_Xz@	lAN@	v\U:rt	kind_0	v\As	kint	bUs	lAd@r	mUnt	dro_ou_Xx	dOrst	v\Ex	krUm	lit_jj@	xut	kEld@r	fU:r		Os@blud	drINk@	bru:\r	mu:@t	kAr@mEl@k	dYn	sy:\r	pYt	y:\r	ita:\li@	bEr@G@	fy:\r	spyG@	dOuv\@	Eb@	stYk	brYx	f2l@	kUm@	dY:r	na:\j@	GrAs	brOuv\@r	bAk@	j@	E:\ij@rs	kriG@	mAr@kt	v\a:\r@	vE:\if	E:\ik@ls	o:\j	Is	Grun	bo:\mpj@	v\in	ys	mEl@k	sp9y_Xt	ku:\	kOst@r	kr9y_Xv\a:\G@	byG@	dyts@rs	blOuv\	sla:\G@	Sy / dop	flI:u_Xv\	snyv\	stAt	dun	do:\p@	do:\pska:\l	sOlda:\t@	dOrs@	bInd@	bund@
Den Burg	kIp@	min	vrI_ont	blUm@	spIn@	m@s_-i:\n@s	v\Er@k	Up_v	skIp	kreG@	b@skIm@lt	brU_r:\@t	tIm@rmAn	splInt@r	fIN@r	fAbrik	fi:\r	bi:\r	tv\i	dri	he	knYp@l	Ik	kni	si:@n	ra:\G@bO:\l	pEt	pA_Od@stu:\l	kI:\r@l	brI_r@d@	sti:@_Xn@	brI_r:\@_Xd@r	brI_r:\@_Xst@	stAmbelt	lysifEr	ble:\f@	mest@r	se_oj	Gra:\G	pinI_~s@nkel	stel	bez@m	nej	rup@	pI:r	rip	GElt	fO:\rt	brEN@	vrOu	zv\Em@	stE_or@k	bE:d	UptIl@	mEs@la:\r		stIk	va:\d@r	sEs	ja:\r	sko_o:\l	la:\t@	Ga:\n	v\a:\t@r	pOt@	bEn@	f2l	ma:\rt	nAx	kOut	kI:rs	Geft	lIxt	pI:rt	t2G@	zv\a:\v@ltj@s	kI:\@_Xs	mot@r	dAx	I:\@v@n	jUN@tj@	bArst	bri:\@f	hArt	spAn@	nov\@	kO:r	z2n	kon@N	Uk	v\est	rou_Xz@n	lAN@	v\u:rt	kIn_jt_jj@	v\As	mEisi	bUs	lO:\d@r	mUnt	drU:\G	dUrst	v\Ex	krUm	lit_jj@	xut	kEld@r	fU:r	mUst	Os@blu:\@_Xt	drINk@	bru:\r	mu:\@t	kAr@mEl@k	dYn	sy:\r	pEt	y:\r	ita:\lij@	bEr@G@	vy:\r	spyG@	dov\@ / dOuv\@	hEb@	Ent	brEx	folt_jj@	kUm@	dY:r	na_O:\i@	GrAs	brOuv\@r	bAk@	j@	E:\ij@r	kreG@	mAr@kt	v\a:\r@	vE:\if_v	a:\k@rtj@s	ho:\j	Is	Grun	bo:\mpi	v\E:\in	hys	mEl@k	spyt	ku	kUst@r	kr2v\a:\G@	by:\G@	dys@rs	blauv\	sleG@	Sy	flI:\u_Xv\	snI:u_Xv\	stAt	du:@n	dU:\p@	dU:\bEk@	sOldat@	dUrs@	bind@	bUnd@
Hollum	hIn_=:	mi_~	fri:\@_Xnt_v	blum_=:	spIn@	m@sin@s	v\Erk	Up_v	skIp	kre:\G@_~	skIm@l@G	bro:\@_Xt	tim@rmAn	splInt@r	fIN@r	f@brik	fi:\@_X	bi:\@_Xr	tv\i:\@_X	dri:\@_X	hE:\i_X	knEp@l	Ik	knIb@l	si:\@_Xn	ra:\G@bOl	pEt	pAd@stu:\@_Xl	ke:\@rl_=	bre:\d@	stin_=:	bre:\d@r	bre:\st@	stAndbe:\lt	dyv@l	ble:\v@n	me:\st@r	se:\	Gra:\G	pIn_=@ke:\l	stOk	be:\z@m		rup@_~	pe:\@_Xr	rip	gElt	fe:\@_Xr	brIN@	frO:\u_X	sv\Em@	stErk	bE:\@_Xd	UptIln_=	mEtsl@r	sprIN@	brUt	fa:\d@r	sEs	jA:\r	sku:\@_Xl	la:\tn_=	gA_~:\	v\a:\t@r	pOtn_=	bIn	f2:\l	ma:\t	nOx	kU:\@_Xd	ke:\@_Xs_v	ge:\ft	lIxt	pe:\@_Xt	t2G@_~	sv\A:\lyw@	ke:\s	mo:\t@r	dA:\G_X	a:\v@n	jUN@tj@	bAi_Xst	bri:\u_X	hai_Xt	spA_~	nEi_Xj@	kAr	s2:\n	ko:\@_XnIN	Uk	v\e:\st	ro:\@_Xzn_=	lAN@	v\o:\@_Xt	kin	v\Ar	mEi_Xsk@	bUs	lEd@r	mU:\@_Xn	dro:\x	dYst	v\Ex		fEsi	Gu:\@_Xt	kEld@r	fo:\@_X	mUst	Os@blu:\@_Xd	drINk@	bru:\@_Xr	mu:\@_Xd_0	syp	dYn	sy:\@_Xr	pYt	y:\@_Xr	ItA:\lij@	bErG@n	fy:\@_Xr	spy:\w@	dy:\w@	hE	stIk	brYx	fo:\@_Xl / f9lk@	kUm@	d2:\@_Xr	nA:\i_Xj@	gAi_Xs	brO:\u_Xw@r	bAk@	jOu_X	Ei_Xj@r_Xs	krEi_Xj@	mErk	v\A:\r@_~	fE:\i_Xf	e:\k@ls	ho:\i_X	Iz	gru:\@_Xn	bo:\mk@	v\in	hyz	mElk	sp9:\i_Xt	ku	kOst@r	kr9:\y_Xv\a:\G@n	by:\G@	dyts@s	blO:\u_X	sla:\G@n	sjy	flA:\u_X	sne:\	stAt	du:\@_Xn	do:\p@	do:\pfUnt	sOlda:\tn_=	dYsk@	bin@	bUn_=:
Nes	hIn_=:	mi_~:\	fri:\@_Xnt_v	blum_=:	spIn@	m@sin@	v\Erk	Up_v	skIp	kre:\G@_~	skIm@l@G	bro:\@_Xt	tIm@rmAn	splInt@r	fIN@r	f@brik	fi:\@_Xr	bi:\@_Xr	tv\i:\@_X	dri:\@_X	hEi_X	knEp@l	Ik	knIb@l	si:\@_Xn	ra:\G@bOl	pEt	pUd@pAstn_=	ke:\@_Xrl_=	bre:\d@	sti:\@_Xn_=:	bre:\d@r	bre:\st@	stAnd_Xbe:\lt	dyv@l	ble:\v@n	me:\st@r	se:\	grA:\G	pin_=@ke:\l	stOk	be:\z@m		rup@n	pe:\@_Xr	rip	gElt	fe:\@_Xr	brIN@	frO:\u_X	sv\Im@	stErk	bE:\@_Xd	UptIln_=	mEts@lA:\r	sprIN@	brUt	fA:\d@r	sEs	jA:\r	skU:\@_Xl	lA:\tn_=	gA_~:\	v\A:\t@r_X	pOtn_=	bIn	f2:\l	mA:\t	nO:\x	kO:\@_Xd_0	ke:\@_Xs_v	ge:\ft	lIxt	pe:\@_Xt	t2G@_~	sv\A:\lyw@	ke:\s	mo:\t@r	dA:\G_X	A:\v@n	jUN@t_-j@	bAst / bAi_Xst	bri:\v	hAt / hAi_Xt	slA_~:\	nE:\i_Xj@	kAr	s2:\n	ko:\@_XnIN	Uk	v\e:\st	ro:\@_Xzn_=	lAN@	v\o:\@_Xt	kin	v\Ar	mEi_Xsk@	bUs	lA:\d@r	mU:\@_Xn	dro:\x	dYst	v\Ex		fEr_Xsi	gu:\@_Xt	kEld@r	fo:\@_X	mUst	Os@blu:\@_Xt	drINk@	bru:\@_Xr	mu:\@_Xd_0	syp	dYn	sy:\@_Xr	pYt	y:\@_Xr	itA:\lij@	bErG@n	fy:\@_Xr	spE:\i_Xj@	dO:\u_Xw@n	hE	stIk	brYx	fO:\@_Xl_-t_-j@	kUm@	d2:\@_Xr	nA:\i_Xj@	gEs	brO:\u_Xw@r	bAk@	jOu_X	E:\i_Xj@rs	krE:\i_Xj@	mErk	v\A:\r@_~	fE:\i_Xf	Ek@ls	ho:\i_X	Iz	gru:\@_Xn	bo:\mpj@	v\in	hys	mElk	sp9:\y_Xt	ku@_X	kOst@r	kr9:\y_Xv\A:\G@n	by:\G@	dyts@s	blO:\u_X	sluG@n	sy	lAf	sne:\	stA_r:\t	du:\@_Xn	do:\p@	do:\pfUnt	sOldA:\tn_=	dEsk@	bin@	bUn_=:
Schiermonnikoog	he:\n@	min	frIu_Xn	blo:\m@	spIn@ / spI:\n@	m@sjin@	v\Erk	Ub	sxIp	kri:\@_XG@_~		bo:\l@	tIm@rmA_rn	splInt@r	fIN@r	f@brik	fjIu_Xw@r	bjAi_Xr	tv\A	tro:\@_X	hi	knOp@l	Ik	knIv@l	sin	rAi_XG@bOl	pEt_vj@n	pA:\r@pyst@r	kAi_Xrl	bre:\d@	stIn_=:	bre:\d@r	bre:\t_Xst@	stO_onbe:\lt	dy:\v@l	blIu_Xn	mEst@r	se:\	grA:\x	pinin@ke:\l	stO:\l@	be:\z@m		rYp@n	pO_r:\r	rip	jil_-d_0	fI:\@_X	brIN@	v\if	sv\Um@	stO_ork	bEd_0	UptIln_=	mEts@l@r	jEp@	bo:l@	hE:\i_Xt	sEks	ji:\@_Xr	sxy:\@_Xl	lA_r:\tn_=	gA_~:\i_X_~	v\A_rt@r	pO_otn_=	bIn@	fo:\l@	mA:\t	nOx	kAu_Xt	kO:\z	jiu_Xt	ji:\@_Xt	hi_~:\j@r	tjI_~	sv\A:\lj@s	tji:s	mo:\tOr	dE:\	jAu_Xn@	lit_v_-j@jUN@	bA_rst	bri:\@_Xv	hEts	spA_rn@	ne:\	kAr	s2:\n	k2:\nIN	Ai_Xk	v\E:\n / v\:\i_Xn	r2:\z@	lAN@	v\Es	lit_v_-j_XbEn	v\i	lit_-j_XfA:\m	bUsk	lE:\i_Xj@s	myl@	dryx	t2:\@_Xst	v\o:\i_X		li:\@_Xt	gy:\@_Xt	kEld@r	f2:\@_X	mUst	Uks@bly:\@_Xt_v_X	drINk@	bry:\@_Xr	my:\@_Xt	sy:\p@	tIn	siu_Xr	tUn	iu_Xr@	itA:\lj@	bErG@n	fjy:\@_Xr	spe:\j@	dIu_Xw@	hE	stYk	brE:\G@	fO:\l@	kUm@	dA:r	no:\i_Xj@	gO_r:\s	brA_r:\u_Xw@r	bA_rk@	dU	o:\i_Xj@n	kre:\j@	mArkt	v\i:\@_Xn@	fi:f	Ek@ls	hAi_X	Iz	gri:\@_Xn	lit_v_-j@bAi_Xm	v\in	hyz_v	mYlk@	sp9:\y_Xt@t		kOst@r	kr2:\ki:\@_Xr	by:\G@t	dyts@s	blAu_X	slU:\@_Xn / klIu_Xt	stIp	flAu_X	sni:\@_X	stEt	dv\A:\n	d2:\p@n	d2:\pfUnt	sOldA:\tn_=	tA_rskj@	bi:\n@	bIu_Xn
Oosterend		mi_~	mO_o:\@_Xt				v\Er@k	Up_v	sxIp	kre:g@_~:\		bro_r:\@_Xt			fIN@r		fjOu_Xw@r	bje:@_Xr	twa:	trEi_X	hi	Ei_XnhOu_Xt	Ik	knIb@l	si:\@_Xn				ke:\@_Xrl_=		stIn_=:	bre:d@r			dyv@l	blOu_Xn	mEi_Xst@r		GrA:		stA:l	bi:\@_Xz@m		rO:xt	pE:\@_Xr	rip	jIlt	fi:\@_Xr	brIN@		swUm@		bE:\@_Xt			sprIN_=:		tA_+:	sEks	ji:\@_Xr	skUl@	lItn_X_=	ge:\@_X_~		pOtn_=_X	bIn	fUl@	me:\@_Xt	nOx	kO@_Xt	kEs	jUxt	jExt	hOi_Xs_j	tsjI		ts_Xji:\@_Xs		dEi_X	i_Xu:n		bEst / sxu:\@_Xr	bri:\@_Xf	hEt	slA:\	ni:\@_X	kA_+r@	so:\@_X / su@_X	ko:\@_Xn@N	I_ok	v\En		lA_+N@	v\E:\@_Xt	bEn	v\Az / v\A_+:\r_X	fA_+mk@	bUs	lEd@r / le:\@_Xr_Xd	myl@	drux	to_r:\@_Xst	v\Ei_X		li:\@_Xtsj@ / fEsj@	xu:\@t	kEld@r	fu_XA_+r	mo@_Xst / most		drINk@	bru:\@_Xr	mu:\@_Xd		tIn	su:r	se:\@_X / bA_+k	u:r			fju:r		drYk@n / du:\w_X@n	hA_+	brOk	brE:\@_Xx	fO:\@_Xl_j@	kUm@	do:\@_Xr		xEs / gEs		bA_+k@	do	A:\@_Xij@n	kri:\@_X		v\Ai_Xn_=:	fi:f		he:\@_X	Iz	Gri:\A_Xn	bo:mk@	v\in	hy:s	mUl@k	spOt	ku	kOst@r_X		bu:G@		blA:\u_X	slEi_Xn	do:p / sjy		sne:i_X		dwA:\@_Xn	do:p@			tEsk@	bin@	
Ferwerd	hIn_=:	mi_~	fr2_~:\@_X_~	blUm_=:	spIn@	m@zin_=:	v\Yrk	Up	skIp	kriG@_~		bO:\@_Xl@	tIm@rmOn	splInt@r	fIN@r	f@brik	fjOu_Xw_X@r	bi:\@_Xr	tv\A:\	trE:\i_Xj_X@	hEi_X	stO:\@_Xk	Ik	knIb@l	sju:\@_Xn	rE:\@_XG@bOl	pEt	pUt@stu:\@_Xl_=	kIrl_=	bre:\d@	stjIn_=:	bre:\d@r	bre:\st@	stOnt_vbe:\lt	dy:\v@l		me:\st@r	se:\	grA:\	pinin@ke:\l	stO:\@_Xk	bi:\@_Xz@m		rUpm_=	pAr	rip	jIlt	fi:\@_Xr	brIN@	frO:\u_X	sv\Im@	stErk	bE:\@_Xt	UptIln_=	mItsl@r	sprIN@	bO:\@_Xl@	hAi_Xt	sAi_Xz	i:\@_Xr		lItn_=		v\Et@r	pu_XAtn_=	bIn	fUl@	mA:\t	nOx_X	kO:\@_Xt	kEs	jOu_Xt	ljOxt	hind@r		sv\Eltsis	tsi:s	mo:\t@r	dAi_X	jun	jUN@	sku_XUr	bri:\@_Xv	hAt	slAG@	nEi_Xj_X@	kAr@	so_~:\@_~_X	ko:\@_XnIN	Ek	v\Est	ro:\zn_=	lAN@	v\Yt	bEntsi	v\i	fAmk@	bUs	ljEd@r	mu_XUl@	drux	to:\@_Xst	dik			gu:\@_Xt	kEld@r	fu_XA	must	Uks@blu:\@_Xt_v	drINk@	bru:\@_Xr	v\Ar@x	sup	tIn	su:\@_Xr		u:\@_Xr@	itA:\lji	bErG@n	fju:\@_Xr	sp9:\y_Xj_X@	trjo:\w_X@	ha	stIk	brE:\@_XG@	fO:\@_Xl@	kUm@	do:\@_Xr	nA:\i_Xj_X@	gE:\@_Xs:\	brO:\u_Xw@r	bAk@	do:\	A_r:\i_Xj_X@N_X	krEi_Xj@	mErk	v\jIn_=:	fi:f_v	Ek@ls		Iz	gri:\@_Xn	bjImk@	v\in	hu:\z	mOlk@	sp9:\y_Xt@t	ko:\	kOst@r	kro:\@_Xd@	bu:\G@	dyts@s	blO:\u_X	slE_oi_Xn	sjy	flO:\u_X	sni:\@_X	stE:\@_Xt_v	dw_XAn	do:\p@	do:\pfUnt	s@ldA:\tn_=	tEskj@	bin@	bun
Holwerd	hIn_=:	mi_~	fr2_~:\@_X_~	blUm_=:	spIn@	m@sin_=:	v\Yrk	Up	skIp	kri:\G@_~		bO:\@_Xl@	tIm@rmOn	splInt@r	fIN@r	f@brik	fjOu_Xw_X@r	bi:\@_Xr	tv\A_+:\	trEi_Xj@	hE_oi_X	stO:\@_Xk	Ik	knIb@l	sju:\@_Xn	rE:\@_XG@bOl	pEt	pUd@stu:\@_Xl_=	ke:\@_Xrl_=	bre:\d@	stIn_=:	bre:\d@r	bre:\st@ / bre:\t_Xst@	stOnbe:\lt	dy:\v@l		me:\st@r	se:\	grA_+:\	lEstfAn@ke:\l	stO:\@_Xk_v	bi:\@_Xz@m		rUpm_=	pA_+r	rip	jIlt	fi:\@_X	brIN@	frOu_X	sv\Em@	stErk	bE:\@_Xt	UptIln_=	mEts@l@r	sprIN@	bO:\@_Xl@	hAi_Xt	sai_Xz	i:\@_X	sku_XA_+l@	lItn_=	ge_~:\@_X_~	v\Et@r	pOtn_=	bIn:\	fUl@	mA_+:\t	nOx	kO:\@_Xt	kjEz	jOu_Xt	ljOxt	hind@r	tsjI_~	sv\Eltsis	tsi:s	mo:\t@r		jun	jUNkj@	bAst	bri:\@_Xv	hA_+t	slA_+	nEi_Xj@	kAr@	sU:\@_Xn	kU:\@_XnIN	Ek	v\Est	ro:\@_Xzn_=	lAN@	v\Yt	bEntsi	v\i	fAmk@	bUsk_X	ljEr@	mu_XU_ol	drux	tU:\@_Xst	dik		fEsk@	gu:\@_Xt	kEld@r	fu_XA	must	Uks@blu:\@_Xt	drINk@	bru:\@_Xr	v\Yr@x	sup	tIn	su:\@_Xr	pYt	u:\@_Xr@	itA:\lij_X@	bErG@n	fy:\@_Xr	spy:\w_X@n	trjo:\u_Xw@	hA_+	stIk	brE:\@_XG@	fO_r:\@_Xl@	kUm@	dU:\@_Xr	nA_r:\i_Xj_X@	gjEs	brO:\u_Xw@r	bA_+k@	dU	A_r:\i_Xj_X@N_X	krai_Xj_X@	mErk	v\i:\@_Xn_=:	fi:f		he:\@_X	Iz	gri:\@_Xn	bjEmk@	v\in	hu:\z	mO_rlk@	sp9:\y_Xt@t	ko:\	kOst@r	krU:\@_Xd@		dyts@r_Xs	blOu_X	slAj_Xn	sO:\u_Xz	flO:\u_X	sni:\@_X	stE:\@_Xt	dv\A:\n	do:\p@	do:\pfUnt	s_vOldA:\tn_=	teski	bin@	bun
Anjum		miN_X	kA_+m@rA_+:\t				v\Yrk	Ub	skIp	kriG@_~		bO:\@_Xl@			fIN@r			bi:\@_Xr	tv\A	trE:\i_Xj@	hE:\i_X	knEp@l	Ik	knIb@l	sju:\@_Xn				ke:\@_Xrl_=		stjIn_=:	bre:\d@r			dy:\v@l	bl2:\@_Xn	me:\st@r	se:\	grA:\G		stO:\@_Xk	bi:\@_Xz@m		rUpm_=	pAr	rip	jIlt	fi:\@_X	brIN@		sv\Em@		bE:\@_Xt			sprIN@		hE:\i_Xt	sE:\i_Xz	i:\@_X	sku_XAl@	lItn_=	ge_~:\@_X_~		pu_XAtn_= / pOtn_=	bIn	fUl@	mA:\t	nOx	kO:\@_Xt	kjEz	jO:\u_Xt	ljOxt	hind@r	tsjI_~		tsi:s		dE:\i_X	jun		bAst	bri:\@_Xv	hAt	slA	nE:\i_Xj@	kAr@	sU_~:\@_X_~	kU:\@_XnIN	Ek	v\Est		lAN@	v\Yt	bEntsj@	v\i	fAmk@	bUs	ljEr@	mu_XUl@	drux	tU:\@_Xst	v\E:\i_X		fEsk@	gu:\@_Xt	kEld@r	fu_XA	must		drINk@	bru:\@_Xr	v\Yrx		tIn	su:\@_Xr	pYt	u:\@_Xr@			fju:\@_Xr		trjo:\w@	hA / hE	stIk	brE:\@_XG@	fO:\@_Xl@	kUm@	do:\@_Xr		gjEs		bAk@	do:\	A:\i_Xj@N_X	kre:\i_Xj@		v\jIn_=:	fi:f		he:\@_X	Iz	gri:\@_Xn	bjEmk@	v\in	hu:\z	mOlk@	sp9:\y_Xt@t	ko:\	kOst@r		bu:\G@		blO:\u_X	slE:\i_Xn	sjy	flO:\u_X / lAf	sni:\@_X		dv\A:\n	do:\p@			tEskj@	bin@	
