	nordavinden	og	sola	kjekla	om	kven	av1	dei1	som	var	den	sterkaste	da	kom	det	en	mann	gaaande	med	varm	frakk	pa	seg	dei2	vart	samde	at	han1	foerst	kunne	faa	mannen	tilaa	ta	av2	frakken	skullegjeldefor	saa	blaaste	avallsimakt	men	dess	meir	han2	tettare	trakk	rundt	tilsist	gav	opp	skein	fram	godt	varmt	straks	tok	maatte	innroemme
Fyresdal	ˈˈnuːɾɑˌʋinˑn̩ / ˈˈnuːɾɑˌʋinˑn̩ / ˈˈnuːɾɑˌʋinˑn̩ʔ / ˈˈnuːɾɑˌʋinˑn̩	ɔ / ɔ / ɔ / ɔ	ˈsuːla / ˈsuːla / ˈsuːla	ˈˈkɾɑŋlɑ	um / um	ˈkʋenː	ɑʋ / ɑʋ / ɑʋ	ˌd̠æi / ˌd̠ɛɪ / ˈðæ̰ɪ̥	sɔɱ / sɔɱ	ˈʋɑː / ˈʋɑː	d̠ən / ɛ̃n / dən	ˈˈstæɾ̥kɑstə / ˈˈstæɾkɑst / ˈˈstæɾ̥kɑ̰st	ˈdoː / ˈd̥oː	ˈkɔmː	də	ɛn / æn	ˈmɑnː	ˈˈɡɑŋɡɑndə	mə	ˈʋɑɾmə	ˈfɾɑkːə	pɔ	ˌseˑɡ / sə / seɰ̥ / sə	dæi	blæɪ	ˈˈʔeːniɡə	ɑt / ʔɑt	dæn	ˈfysː	ˌkʰunˑə	fɔ	ˈmɑnːən / ˈmɑnːən / ˈmɑnːn̩	təɔ	ˈˈtʰɑːk	ɑʋ / ˈɑːʋ	ˈfɾɑçːən / ˈfɾɑçːən / ˈfɾɑçːən	ˌskʉlːəˈˈɾeknɑsfeɾ	ˈsoː / sɔ / ˈsoː	ˈbluːs / ˈbluːs	ɑʋˈɑlːsiˈmɑkʰtʰ	mən	tɪ / tɪ	ˈmæi	hɑn	ˈˈtʰetːɑɾə	ˈdɾuːɡ	ˈɾunt	tɪˈs̠l̥ʉtː		ˈupːʰ	ˈʃæin	ˈfɾɑmː	ˈɡøʰtː	ˈʋɑɾmt	meˈʔæiˈɡɔŋ		ˈˈmɔtːə	ˈʋeːˌçɛn̠ːə
Gaular	ˈˈnoːɾˠɑˌʋɪndn̩ / ˈˈnuːɾˠɑˌʋɪndn̩ / ˈˈnu̞ːɾɑˌʋɪndn̩ / ˈˈnuːɾˠɑˌʋɪndn̩	ɔ / ɔ / ɔ / o / ɔ	ˈsuːla / ˈsuːla / ˈsuːlɑ	ˈˈc͡͡çɛklɑ	um / um	ˈkʰɛm	ɑ / ɑʋ / ɑ̰ʋ	dæi / dæi / dæ̰ḭ	sɔ / su	ˈʋɑː / ˈʋɑː	dn̩ / den / dn̩	ˈˈstæɾˠ̥kɑstə / ˈˈstæɾ̥kɑstə / ˈˈstæɾ̥kɑstə	dɔ / dɔ	ˈkʰɔmː	de	æin / æin	ˈmɑnː	ˈˈɡoːəndə	m	ˈʋɑ̟ɾm	ˈfɾɑkː	pɔ	ˈseːɡ / seɡ / seɡ / seɡ	dæi	ʋɑɾ̥t	ˈˈʔeːniɡ	ɑt / ɑt	dɛn	ˈføʃt	kʉnə	fɔ	ˈmɑnːn̩ / ˈmɑnːn̩ / ˈmɑnːn̩	tilɔ	tɑ	ˈʔɑːʋ / ˈɑːʋ	ˈfɾɑkʰːən / ˈfɾɑkʰːən / ˈfrɑkʰːən	ʋɑɾ̥tˈˈɾeknɑsɔm	so / su / ˈsoː	ˈˈbloːstə / ˈˈbloːstə	ɑʋˈʔɑlːsiˈmɑkt	men	des / des	ˈmæiɾ	hɑn	ˈˈtʰætʰːɑrə	ˈtɾɑkʰː	ˈɾʉnt	tilˈsist	ɡ̥ɑ	ˈupʰː	ˈʃæin	ˈfɾɑm	ˈɡɔʰtʰː	ˈʋɑɾmt	ˈstɾɑks	tuk	mɔtːə	ˈʔinːˌɾømˑə
Gulen	ˈˈnuːɾˠɑˌvɪndn̩ / ˈˈnuːɾɑˌvɪndn̩ / ˈˈnuːɾɑˌvɪndn̩ / ˈˈnuːɾɑˌvɪndn̩	ɔ / ɔ / ɔ / ɔ	ˈsuːlɑ / ˈsuːlɑ / ˈsuːlɑ	ˈˈkɾɑŋlɑ	um / um	ˈkʰem	ɑʋ / ɑʋ / ˈɑ̰ːv	ˌɾæɪ / ˈdæ̰ɪ̥ / dæ̰ɪ̰	su / suɱ	ˈvɑː / vɑ	ɾɛn / dɛn / dæ̰n	ˈˈstæɾ̥kɑstə / ˈˈstæɾ̥kɑ̥st / ˈˈsθæ̰ɾ̥kɑ̰stə̰	dɔ / ˈdɔː	ˈkom		æɪn / æɪn	ˈmɑnː	ˈˈɡoːɑndə	mə	ˈvɑɾm	ˈfɾɑkː	pɔ	ˈsɛː̰ɰ̥ / sɛɰ̥ / sɛ / sɛ	dæɪ	vɑt̠	ˈˈæɪniɡə	ɑt / ɑt / ɑt	dɛn	ˈfyst	kʉne	fɔ	ˈˈmɑnn̩ / ˈmɑnːn̩ / ˈmɑnn̩	təɔ	tɑ̰	ˈɑ̰ːv / ˈɑ̰ːv	ˈfɾɑkːən / ˈfɾɑkːən / ˈfɾɑkːən	ˌvɑˑ	ˈsuː / ˈsuː	ˈbleːs / ˈblɛːs	ʔɑvˈʔɑlːsɪˈmɑkʰtʰ	mɛn	ju / ju	ˈmæɪɾ	ɑn	ˈˈtʰetːɑɾə	ˈdɾuːɡ	ˈɾunt	tɛˈslʉtː		ˈupːʰ	ˈʂæɪn	ˈfɾɑm	ˈɡɔtːʰ	ˈvɑɾmt	ˈstɾɑks		mɔtˑə	ˈɪnːˌɾømˑə
Lesja	ˈˈnuːɽɑˌʋiɲˑ / ˈˈnuːɽɑˌʋiɲː / ˈˈnuːɽɑˌʋiɲː / ˈˈnuːɽɑˌʋiɲː	ɔ / ɔ / ɔ / ɔ / ɔ	ˈsuːɽə / ˈsuːɽe / ˈsuːɽe	ˈˈkɾɑŋlə	um / ʉm	ˈkʰem	ˌtʰɔ	døm	sɔm / sɔm	ʋɑ / ʋɑ	deɲ	ˈˈstæɾ̥kɑstə	ˈdɑː / ˈdɑː	ˈkɔmː	de	n / n	ˈmɑɲː	ɡɔn	me	ˈʋɑɾm	ˈfɾɑʰkʰː	pɔ	ˌse / se / se / se	døm	ʋɑʈ	ˈˈeːniɡ	ɑt / ɑt	ˈdeɲː	ˈfyst	kʉɲː	fɔ	ˈmɑɲː / ˈmɑɲː / ˈmɑɲː	te	ˈˈtʰɔ	tɔ / ˈtʰoː	ˈfɾɑʰkʰːən / ˈfɾɑʰkːən / ˈfɾɑʰkːən	skʉʎˈˈjeʎːəfɔɾɔʋæɾɑ	ˈsoː / sɔ / ˈsoː	ˈbɽæːs / ˈbɽæːs	sɔˈstæʰʈʰn̩ˈˈkʰʉnːɑ	mən	tʰe / te	ˈmæi	ɳ	ˈˈtʰeʰtːæɾə	ˈˈtɾæktə	ˈɾunt	teˈʃlʉʰtː	ɡ̥ɑ	ˈʉʰpː	ˈʃein	ˈfɾɑm	ˈɡɔʰtː	ˈʋɑɳʈ	meˈʔeɲːˈɡɔŋ		mɔtə	ˈiɲːˌɾømˑə
Molde	ˈˈnuːrɑˌʋinˑn̩ / ˈˈnuːɾɑˌʋinˑn̩ / ˈˈnuːrɑˌʋinˑ / ˈˈnuːɾɑˌʋinˑn̩	ɔ / ɔ / ɔ / ɔ / ɔ	ˈˈsuːɽɑ / ˈsuːɽɑ / ˈsuːɽɑ	ˈˈkɾɑŋɽɑ	om / um	ˈkʰæm	ɑ / ˈɑː / ˈɑː	ˌdæm / ðæm / ðæm	sɔm / sɱ̥̩	ʋɑ / ˈʋɑː	dn̩ / ən	ˈˈstæɾ̥kəstə / ˈˈstæɾkəstə	ˈdɑː / dɔ	ˌkʰɔmˑ	de	n / n	ˈmɑnː	ˈˈɡoːənə	ˌmeˑ	ˈʋɑɾm	ˈfɾɑkʰː	pɔ	ˈseː / sæ / sə / sæ	ˈdæm	bɽæi	ˈˈeːni	ɑt / ɑt	ˈdænː	ˈføʃt	ˌkʰʉnˑe	ˌfɔˑ	ˈmɑnːn̩ / ˈmɑnːn̩ / ˈmɑnːn̩	teɔ	ˈˈtʰɑː	ɑ / ɑ	ˈfɾɑkʰːən / ˈfɾɑkʰːən / ˈfɾɑkʰːən	bɽæˈˈræŋnɑsɔm	ˈso̰ː / sɔ / ˈsoː	ˈˈbɽoːstə / ˈˈbɽoːstə	ɑʋˈɑlːsiˈmɑkʰtʰ	mæn	ə / de	ˈmæiɾ	hɑm	ˈˈtʰætːəɾə	tɾɑkː	ˈɾʉnt	teˈʃl̠ʉtʰː	ˌɡ̥ɑˑ	ˈupʰː	ˈʃæin		ˈɡɔtʰː	ˈʋɑɾmtʰ	məˈʔeːŋˈɑŋː	ˈˈtʰuːk	mɔte	ˈinːˌɾømˑə
Nordreisa	ˈˈnuːɾɑˌʋinˑ / ˈˈnuːɾɑˌʋinˑ / ˈˈnuːɾɑˌʋinˑ / ˈˈnuːɾɑˌʋinˑ	ɔ / ɔ / ɔ / ɔ / ɔ	ˈsuːlɑ / ˈsuːlɑ / ˈsuːlɑ̰	ˈˈkɾɑŋlɑ	um / um	ˈkæmː	ʔɑ / ɑ / ɑ̰	ˈdæmː / ˈðæmː / ˈð̰æ̰m̥	sɔɱ / sɔɱ	ˈʋɑː / ˌʋ̰ɑ̰	dn̩ / den / dn̩	ˈˈstæ̥ɾ̥kɑ̤stə̤ / ˈˈstæɾ̰kəst / ˈˈstæɾ̥kəstə̰	dɑ / ˈd̥ɑː	kɔm	də	n / n	ˈmɑnː	ˈˈɡoːɑnəs	mə	ˈʋɑɾm	ˈfɾɑkʰː	pɔ	ˈsæ̰i̥ / sæ / sæi / sæ	d̥i	ble	ˈˈʔeːni	ɑt / ɑ̰t	ˈd̥enː	ˈføʃt̠	ˌkʰʉnˑə	fɔ	ˈmɑnː / ˌˌmɑːn / ˌˌmɑːnʲ	te	ˈtʰɑː	ɑ / ˌɑˑʋ	ˈfɾɑkːən / ˈfɾɑkːən / ˈfɾɑ̤kːə̥n̥	bleˈˈɾæŋnɑsɔm	sɔ / ˈsoː / ˈsoː	ˈblɔstə / ˈblɔstə	ɑʋˈɑlːsiˈmɑkʰtʰ	mæn	ju / ju	ˈmeːɾ	hɑn	ˈˈtʰætːəɾə	ˌtɾɑkˑ	ˈɾʉnt	teˈsist	ɡɑ	ˈupʰː	ˈˈʃintə	fɾɑm	ˈɡɔtʰː	ˈʋɑɳʈ	ˈstɾɑks	tuk	mɔtə	ˈʔinːˌɾømˑə̰
Oppdal	ˈˈnuːɾɑˌʋeɲˑ / ˈˈnuːɾɑˌʋeɲˑ / ˈˈnuːɾɑˌʋeɲˑ / ˈˈnuːɾɑˌʋeɲˑ	ɔ / ɔ / ɔ / ɔ	ˈsuːɽɑ / ˈsuːɽɑ / ˈsuːɽɑ	ˈˈkɾɑŋɽɑ	um / um	ˈkʋɑɲˑ	ˌˌtʰoː	m	sɔɱ / sɔɱ	ˈʋɑː / ˈʋɑː	ðeɲˑ / deɲ / ðeɲ	ˈˈstæɾ̥kɑst / ˈˈstæɾ̥kɑːst / ˈˈstæɾ̥kɑst	ˈdɑː / ˈdɑː	ˈkʰumː	ə	æn / æn	ˈmɑɲː	ˈˈɡɑŋːɑɲ	mə	ˈʋɑɾm	ˈfɾɑkː	pɔ	ˌsɛˑ / se / se / sə	ˌdæm	ˈʋɑʈ	foˈɭekʰtʰ	ɑt / ɑt	ˈdeɲˑ	ˈføst	kʉɲ	ˌfɔˑ	ˌˌmɑˑɲˑ / ˌˌmɑɲˑ / ˌˌmɑɲˑ	teɔ	ˈtʰɔˑ	tˑɔ / tˑɔ	ˈfɾɑkːɪɲ / ˈfɾɑkːiɲ / ˈfɾɑkːən	skʉʎˈˈʋɔɾːɔ	sɔ / sɔ / ˈsoː	ˈbɽeːs / ˈbɽeːs	ˈɑʎ̥cɲ̩ˈˈmɑktɑ	mɪɲ	dɪ / di	ˌˌmeːɾ	ɦɑɲ	ˈˈtʰecːɑɾ	ˈtɾekt	ˈɾuɲːc	teˈʃl̠ʉcː			ˈˈʃeːn	ˈfɾɑmː	ˈɡɔtː	ˈʋɑɾmt	ˈtɾɑːst		mɔt	ˈˈɡɑŋːmepɔ
Orkdal	ˈˈnuːɽɑˌʋiɲˑ / ˈˈnuːɽɑˌʋiɲˑ / ˈˈnuːɽɑˌʋiɲˑ / ˈˈnuːɽɑˌʋiɲˑ	ɔ / ɔ / ɔ / ɔ / ɔ	ˈsuːɽɑ / ˈsuːɽɑ / ˈsuːɽɑ	ˈˈçækɽɑ	um / um	ˈkʰæm	tɔ / tɔ	ðæm / ðæm	sɔɱ / sɔɱ	ˈʋɑː / ˈʋɑː	deɲ / deɲ / deɲ	ˈˈstæɾkɑstn̩ / ˈˈθæɾkɑstn̩ / ˈˈstæɾkɑst	dɑ / ˈdɑː	ˈkʰumː	de	ˈeːn / en		ˈˈɡɔːɑnəs	me	ˈʋɑɾm	ˈˈfrɑkʰːə	ˈpʰoː	sæ / sæ / sæ / sæ	dæm	ʋɑʈ	ˈˈʔeːni	ɑt / ɑt	ˈhɑɲː	ˈføʃt	kuɲː	ˈfoː	ˈmɑɲː / ˌˌmɑɲː / ˌˌmɑɲː	teɔ	ˈˈtʰɑː	tɔ / ˈtʰoː	ˈˈfɾɑkʰːən / ˈˈfɾɑkʰːən / ˈˈfɾɑkʰːən	skuʎˈjeʎːfɔɾ	ˈsoː / sɔ / ˈsoː	ˈbɽeːs / ˈbɽeːs	tɔˈɑʎːsiˈmɑkʰtʰ	mæn	des / des	ˈmeːɾ	hɑɲ	ˈˈtʰetːɑɾ	ˈtɾækt	ˈruɲc	teˈsist	ɡ̥ɑ	ˈupʰː	ˈʃein	ˈfɾɑm	ˈɡɔtʰː	ˈʋɑɾmt	ˈstɾɑks	tuk	mɔtː	ˈiɲˑˌrømˑ
Oslo	ˈˈnuːɾɑˌʋinˑn̩ / ˈˈnuːɾɑˌʋinːn̩ / ˈˈnuːɾɑˌʋinˑn̩ / ˈˈnuːɾɑˌʋinˑn̩	ɔ / ɔ / ɔ / ɔ	ˈsuːln̩ / ˈsuːln̩ / ˈsuːln̩	ˈˈkɾɑŋlət	ɔm / ɔm	ˈʋem	ɑ / ɑ / ʔɑ	dem / ˌdemˑ / ˈdemː	sɱ̩ / sɱ̩	ˈʋɑː / ˈʋɑːɾ	ɖɳ̩ / ɖɳ̩ / n̩	ˈˈstæɾ̥kəstə / ˈˈstæɾkəstə / ˈˈstæɾ̥kəstə	ˌdɑˑ / ˌdɑː	ˈkʰɔmː	de	n / n	ˈmɑnː	ˌɡɔˑənə	me	ˈʋɑɾm	ˈfɾɑkː	pɔ	ˌsæ / sæ / sæ / sæ	di	ble	ˈˈeːnjə	ɑt / ɑt	ˈdenː	ˈføʃt̠	ˌkʰʉnˑə	fɔ	ˈmɑnːn̩ / ˈmɑnːn̩ / ˈmɑnːən	tɔ	ˈˈtʰɑː	ɑ / ɑ	ˈfɾɑkːən / ˈfɾɑkːən / ˈfɾɑkːən	ˌskʉlˑəˈˈjelːəfɔ	ˈsoː / ˌsɔˑ / ˈsoː	ˈˈbloːstə / ˈˈbloːstə	ɑˈʔɑlːsinˈmɑkʰtʰ	men	ju / ju	ˈmeːɾ	ɦɑm	ˈˈtʰetːəɾə	ˌtɾɑkˑ	ˈɾʉnt	təˈsist		ˌɔpʰˑ	ˈˈʃintə	ˈfɾem	ˈɡɔtʰː	ˈʋɑɾmtʰ	ˈstɾɑks		ˌmɔtˑə	ˈinːˌɾømˑə
Rana	ˈˈnuːɾɑˌʋinˑ / ˈˈnuɾɑˌʋinʲˑ / ˈˈnuɾɑˌʋinˑn̩ / ˈˈnuːɾɑˌʋiɲˑ	ɔ / ɔ / ɔ / ɔ / ɔ	ˈsuːɽæ / ˈsuːɽæ / ˈsuːɽɑ	ˈˈkɾɑŋɽɑ	um / um	ˈkʰæmː	ɑ / ɑ̰ / ɑ̰	ˈðæmː / ðæ̰m / ˌðæ̰m̰	sɔm / sɔɱ	ˈʋɑː / ʋɑ	ðeɲ / ðeɲ / ðn̩	ˈˈstæɾ̥kestə̰ / ˈˈstæɾ̥kestn̩ / ˈˈstæɾ̥kəstn̩	dɑ / ˈd̥oː	ˈkʰɔmː	de	n / n	ˈmɑɲː	ˈˈɡoːɑnæs	mæ	ˈʋɑrm	ˈfɾɑkʰː	pɔ	ˈsæ̰ːɡ / sæ / sæ̰ / sæ̰ɡ	dæm	ʋɑʈ	ˈˈʔeːni	ɑt / ɑt	ˈdæɲː	ˈføʃt	kʉɲː	fɔ	ˈmɑɲː / ˈmɑːɲ / ˈmɑːɲ	te	ˈtʰɑː	ɑ / ˈɑː	ˈˈfɾɑkʰːən / ˈfɾɑkʰːən / ˈfrɑkʰːən	ʋɑ̰ʈˈˈɾæŋnɑsɔm	ˈsoː / sɔ / ˈsoː	ˈbɽɔst / ˈbɽɔst	ɑ̰ˈʔɑʎːsiˈmɑkʰtʰ	mæn	ju / ju	meɪɾ	ɑm	ˈˈtʰætːæ	t̠ɾækt	ˈɾʉɲc	teˈʃl̠ʉtʰʲ	ɡ̥ɑ	ˈupʰː	ʃint	ˈfɾɑm	ˈɡɔtː	ˈʋɑɳʈ	ˈstɾɑks	tuk	mɔt	ˈiɲˑrøm
